用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
1388037048645908,🐰小微微吖！,2026-03-09,河南,第一部是高尔夫，第二部是A3，第三部是什么车？,1,7598390738111466761
2659093446401168,小泽爱吃饺子,2026-01-25,广东,个人感觉还是 F1狂飙飞车好看点[暗中观察],1,7598390738111466761
3395733136610400,56330228052,2026-01-25,重庆,博纳起飞,1,7598390738111466761
1714835540677501,@中药材长沙哥,2026-02-05,湖南,博纳影业拉几个涨停板吧[赞][赞][赞],4,7598390738111466761
3802526735412151,心里.,2026-02-19,贵州,免费完整版！！！,1,7598390738111466761
101009875621,Demonless.Bai,2026-01-23,浙江,没有女主角的电影，真的好看,28,7598390738111466761
11212515965,Zephyr·Jadey,2026-01-23,河北,一看预算拉满的纪星[图片表情],358,7598390738111466761
2664810000418029,𝑪𝒉𝒆𝒇.陆,2026-02-20,江苏,飞驰人生4已经在偷偷上映了,0,7598390738111466761
1496851451745756,小甜9968,2026-03-09,广西,97秒是个创造奇迹的数字,1,7598390738111466761
1198935004423975,华星医械六扇门,2026-02-17,江苏,嗯，今天我刚看过的飞驰人生三,0,7598390738111466761
1980663917457499,美洋洋,2026-01-25,福建,第一部是高尔夫，第二部是A3，第三部是什么车？[图片表情],1,7598390738111466761
100933672164,退役集翔物,2026-01-26,山东,"记星：领导，咱预算多少
领导：上不封顶
张驰：什么叫我会不会开火箭[憨笑]",5,7598390738111466761
101688218934,About,2026-01-29,湖北,领克z20[钱],1,7598390738111466761
105291476626,异,2026-01-23,云南,龙文章都来，[给力]，必看,5,7598390738111466761
710743096308848,阿C,2026-01-24,广东,来不及解释了，下面登场的是,1,7598390738111466761
3809155855945567,木 木.,2026-01-24,青海,沈腾：现发家族大团建啦      白敬亭金晨：我俩退出呗？[图片表情],1,7598390738111466761
1996318732718255,沉醉不知归路,2026-01-28,湖南,月子1，月子2，月子3[戳手手]憋出来的绝对烂片,1,7598390738111466761
2412807534674784,缝系,2026-01-25,河南,"光看预告片给我一种感觉：
张弛—维斯塔潘
宇强—佩雷兹
继星—纽维[杀马特]",0,7598390738111466761
1371835274639424,巴洛克Goth,2026-01-24,浙江,预算拉满的记星[图片表情],1,7598390738111466761
96899172601,.7  🍥,2026-02-17,江苏,刚看完， 绝对刺激精彩，值得一看，特别是后半部分。,2,7598390738111466761
60942203398,猫子,2026-04-25,湖北,这句话真的很触动我,2180,7629631350202957547
1547750313828808,抖抖发瑟,2026-04-25,广东,网上什么时候可以看[流泪],2,7629631350202957547
65497135744,高高·,2026-04-26,安徽,不是的，机会只会出现在其中的一两次,8,7629631350202957547
522974422641821,大悦,2026-04-25,北京,谁董啊[苦涩][苦涩][苦涩],2,7629631350202957547
68737462448,芋泥·YIBO,2026-04-26,云南,看完3去看了1 2，我才明白为什么张弛如此坚持,4,7629631350202957547
276718814497495,威豹少年干饭团,2026-04-25,吉林,飞驰4，摩托传奇,2,7629631350202957547
101429742512,平安树,2026-04-26,山东,三刷的时候，从这句话开始我就哭的停不下来,0,7629631350202957547
98749551120,Red,2026-04-25,广东,把连牙蓝上,0,7629631350202957547
758028119847639,卡布叻-米九,2026-04-25,上海,10,0,7629631350202957547
3257181143045888,我的世界冷风,2026-04-25,上海,3,0,7629631350202957547
10677939328,伤心吗喽穿孔重度依赖,2026-04-25,山东,尹正牛逼[色],0,7629631350202957547
