用户名,粉丝数量,视频描述,视频id,发表时间,视频时长,点赞数量,收藏数量,评论数量,分享数量,下载数量
大雄探片,1686974,春节档唯一的一部“硬通货”——《飞驰人生3》！你的笑声和油门一起踩到底！#飞驰人生3,7598390738111466761,2026-01-23,01:46,67346,5805,2579,26973,216
电影飞驰人生3,1956381,只要开始追赶，我们就在赢的路上 #飞驰人生3,7629631350202957547,2026-04-25,00:29,51706,6279,468,5474,281
陈庚auto,327689,飞驰人生3隐藏彩蛋？ 只有资深车迷才能看懂？#飞驰人生3 #飞驰人生3电影,7608087748654911395,2026-02-18,01:25,25365,2153,740,5298,0
电影飞驰人生3,1956381,《飞驰人生》系列教会了我们很多，除了放弃 #飞驰人生3,7629631847580761798,2026-04-26,00:38,12714,1922,164,1107,64
堂主撩車,1040877,飞驰人生3剧情合理吗？韩寒车技比林志颖强吗？ #飞驰人生3 #飞驰人生3电影,7607677812887113012,2026-02-17,12:45,12415,1038,1445,1303,0
宋文婷,367557,《飞驰人生3》原版战车首发：硬帅全凭手搓！奥迪车里没有懦夫 #飞驰人生3,7607672025821570725,2026-02-17,03:18,11421,1453,496,1674,8
小阮叨叨叨,300364,沈腾演的不是张驰，而是韩寒的“替身”，《飞驰人生3》的真相太 扎心了！#飞驰人生 #沈腾 #张弛 #韩寒,7611843054722354474,2026-02-28,03:07,7509,882,88,1332,0
路过呀,447872,兄弟们，最近有急事去趟河南焦作#来焦作峰林峡体验飞驰人生  #峰林峡 #河南人要玩水的心压不住了 #飞驰人生3 #路过呀,7632590658839562853,2026-04-25,03:54,3115,257,879,4141,15
十柒学长,1519,飞驰人生3感人瞬间、致敬多个经典名场面！奥迪A3、高尔夫8继续高燃#飞驰人生3#飞驰人生  #奥迪A3 #高尔夫8,7608751381927044325,2026-02-20,01:03,2495,335,95,208,4
小康哥说车,186643,飞驰人生3为什么选择奥A3做主角赛车？#一汽奥迪A3 #飞驰人生3 #一汽奥迪,7613305093735206184,2026-03-04,01:08,1475,441,86,183,3
阳光男说车,2777,细节见真章！《飞驰人生3》里的赛车理论与惊喜致敬 本期视频为《飞驰人生 3》硬核解析：赛车超增压原理、轮胎抱死借硬路基发力、致敬头文字 D 关灯杀名场面，揭秘张驰只换两条胎仍完赛的赛车逻辑。从理论到细节，全是专业与情怀，看懂每一处致敬与技术巧思。#电影解说#飞驰人生3  #汽车 #汽车知识 #张驰,7611112604559215918,2026-02-26,07:02,1041,141,135,158,0
肖文诺(荒野小说家）,242864,一部电影，理解爽文。飞驰人生3 #飞驰人生3 #网文作者 #爽文套路 #写小说,7607883691171302682,2026-02-18,03:53,978,292,58,37,0
马达视频,82109,飞驰3下架前，说点真话，这些韩寒没告诉你的事 《飞驰人生3》票房破40亿，但它骗了至少一半的观众！ 我知道，你们看完电影热血上头，恨不得马上订机票去新疆，在那个“巴音布鲁克”赛道上踩一脚地板油。但我今天必须把真相捅破：那个让你做梦想去的赛道，现实中压根不存在！,7618478809456692515,2026-03-18,01:45,911,442,68,22,0
将進酒,1785,“请再次振动那颗不服输的心！” #飞驰人生3 #沈腾 #张弛 #林臻东#飞驰人生@抖加🔥上热门🔥dou+🔥热点宝,7632314296315405282,2026-04-24,00:56,845,373,14,31,0
竞速（巅峰极速）,27601,巅峰极速：飞驰人生3同款车后追AE86！ #巅峰极速飞驰人生3联动  #头文字巅拓海接班人计划 #巅峰极速 #入坑游戏的瞬间,7632872126056639089,2026-04-26,01:27,511,328,290,14,0
隔壁王三三,115433,这是飞驰人生3里面的车，电影里面飞驰人生三的坠车戏反映了对 安全的偏执，电影里面的车摔碎了可以出来，但现实里奥迪靠的是最严密的零部件测试标准#飞驰人生3#一汽奥迪#A3 #一汽奥迪A3,7613732732329967973,2026-03-05,01:17,493,98,84,66,0
小熊科普,39,电影飞驰人生3仍旧没有女演员 #冷知识 #科普 #禁止废话,7632998134435564850,2026-04-26,00:33,477,9,20,3,0
